,accounts,ch,chamber,id,name,party,screen_name,state,type
65,"{'office': [{'id': 22509548, 'id_str': '22509548', 'screen_name': 'DarrellIssa'}], 'campaign': [{'id': 63650107, 'id_str': '63650107', 'screen_name': 'TeamIssa'}], 'index': 43}",yes,house,"{'bioguide': 'I000056', 'govtrack': 400196}",Darrell Issa,R,TeamIssa,CA,member
66,"{'office': [{'id': 1128514404, 'id_str': '1128514404', 'screen_name': 'RepDavidValadao'}], 'campaign': [{'id': 36676406, 'id_str': '36676406', 'screen_name': 'dgvaladao'}], 'index': 44}",no,house,"{'bioguide': 'V000129', 'govtrack': 412515}",David Valadao,R,RepDavidValadao,CA,member
67,"{'office': [{'id': 1128514404, 'id_str': '1128514404', 'screen_name': 'RepDavidValadao'}], 'campaign': [{'id': 36676406, 'id_str': '36676406', 'screen_name': 'dgvaladao'}], 'index': 44}",yes,house,"{'bioguide': 'V000129', 'govtrack': 412515}",David Valadao,R,dgvaladao,CA,member
68,"{'office': [{'id': 344972339, 'id_str': '344972339', 'screen_name': 'Rep_DevinNunes'}, {'id': 54412900, 'id_str': '54412900', 'screen_name': 'DevinNunes'}], 'campaign': [{'id': 2851579030, 'id_str': '2851579030', 'screen_name': 'DevinGNunes'}], 'index': 45}",no,house,"{'bioguide': 'N000181', 'govtrack': 400297}",Devin Nunes,R,Rep_DevinNunes,CA,member
69,"{'office': [{'id': 344972339, 'id_str': '344972339', 'screen_name': 'Rep_DevinNunes'}, {'id': 54412900, 'id_str': '54412900', 'screen_name': 'DevinNunes'}], 'campaign': [{'id': 2851579030, 'id_str': '2851579030', 'screen_name': 'DevinGNunes'}], 'index': 45}",no,house,"{'bioguide': 'N000181', 'govtrack': 400297}",Devin Nunes,R,DevinNunes,CA,member
70,"{'office': [{'id': 344972339, 'id_str': '344972339', 'screen_name': 'Rep_DevinNunes'}, {'id': 54412900, 'id_str': '54412900', 'screen_name': 'DevinNunes'}], 'campaign': [{'id': 2851579030, 'id_str': '2851579030', 'screen_name': 'DevinGNunes'}], 'index': 45}",yes,house,"{'bioguide': 'N000181', 'govtrack': 400297}",Devin Nunes,R,DevinGNunes,CA,member
71,"{'office': [{'id': 38254095, 'id_str': '38254095', 'screen_name': 'DorisMatsui'}], 'campaign': [{'id': 169331127, 'id_str': '169331127', 'screen_name': 'Matsui4Congress'}], 'index': 46}",no,house,"{'bioguide': 'M001163', 'govtrack': 400663}",Doris Matsui,D,DorisMatsui,CA,member
72,"{'office': [{'id': 38254095, 'id_str': '38254095', 'screen_name': 'DorisMatsui'}], 'campaign': [{'id': 169331127, 'id_str': '169331127', 'screen_name': 'Matsui4Congress'}], 'index': 46}",yes,house,"{'bioguide': 'M001163', 'govtrack': 400663}",Doris Matsui,D,Matsui4Congress,CA,member
73,"{'office': [{'id': 1069124515, 'id_str': '1069124515', 'screen_name': 'RepLaMalfa'}], 'campaign': [{'id': 19808819, 'id_str': '19808819', 'screen_name': 'DougLaMalfa'}], 'index': 47}",no,house,"{'bioguide': 'L000578', 'govtrack': 412510}",Doug LaMalfa,R,RepLaMalfa,CA,member
74,"{'office': [{'id': 1069124515, 'id_str': '1069124515', 'screen_name': 'RepLaMalfa'}], 'campaign': [{'id': 19808819, 'id_str': '19808819', 'screen_name': 'DougLaMalfa'}], 'index': 47}",yes,house,"{'bioguide': 'L000578', 'govtrack': 412510}",Doug LaMalfa,R,DougLaMalfa,CA,member
