,ch,chamber,name,party,screen_name,state,type
310,yes,house,Todd Rokita,R,ToddRokitaIN,IN,member
311,no,house,Trey Hollingsworth,R,RepTrey,IN,member
312,yes,house,Trey Hollingsworth,R,VoteForTrey,IN,member
313,no,house,Kevin Yoder,R,RepKevinYoder,KS,member
314,yes,house,Kevin Yoder,R,KevinYoder,KS,member
315,no,house,Lynn Jenkins,R,RepLynnJenkins,KS,member
316,yes,house,Lynn Jenkins,R,lynnjenkins,KS,member
317,no,house,Roger Marshall,R,RepMarshall,KS,member
318,yes,house,Roger Marshall,R,RogerMarshallMD,KS,member
319,no,house,Ron Estes,R,RepRonEstes,KS,member
320,yes,house,Ron Estes,R,RonEstesKS,KS,member
321,no,house,Andy Barr,R,RepAndyBarr,KY,member
322,yes,house,Andy Barr,R,barrforcongress,KY,member
323,no,house,Brett Guthrie,R,RepGuthrie,KY,member
324,yes,house,Brett Guthrie,R,brettguthrie,KY,member
325,no,house,Hal Rogers,R,RepHalRogers,KY,member
326,yes,house,James Comer,R,KYComer,KY,member
327,no,house,John Yarmuth,D,RepJohnYarmuth,KY,member
328,no,house,Thomas Massie,R,RepThomasMassie,KY,member
329,yes,house,Thomas Massie,R,ThomasMassieKY,KY,member
330,no,house,Cedric Richmond,D,RepRichmond,LA,member
331,yes,house,Cedric Richmond,D,CedricRichmond,LA,member
332,no,house,Clay Higgins,R,RepClayHiggins,LA,member
333,yes,house,Clay Higgins,R,CaptClayHiggins,LA,member
334,no,house,Garret Graves,R,RepGarretGraves,LA,member
335,yes,house,Garret Graves,R,garretgraves,LA,member
336,no,house,Mike Johnson,R,RepMikeJohnson,LA,member
337,yes,house,Mike Johnson,R,MikeJohnson,LA,member
338,no,house,Ralph Abraham,R,RepAbraham,LA,member
339,yes,house,Ralph Abraham,R,abraham_ralph,LA,member
340,no,house,Steve Scalise,R,SteveScalise,LA,member
341,yes,house,Steve Scalise,R,GeauxScalise,LA,member
342,no,house,Bill Keating,D,USRepKeating,MA,member
343,yes,house,Bill Keating,D,WilliamKeating,MA,member
344,no,house,Jim McGovern,D,RepMcGovern,MA,member
345,yes,house,Jim McGovern,D,McGovernMA,MA,member
346,no,house,Joseph Kennedy III,D,RepJoeKennedy,MA,member
347,yes,house,Joseph Kennedy III,D,joekennedy,MA,member
348,no,house,Katherine Clark,D,RepKClark,MA,member
349,yes,house,Katherine Clark,D,KatherineClark,MA,member
350,no,house,Mike Capuano,D,RepMikeCapuano,MA,member
351,yes,house,Mike Capuano,D,mikecapuano,MA,member
