,accounts,chamber,id,name,party,state,type
71,"{'office': [{'id': 24913074, 'id_str': '24913074', 'screen_name': 'RepSpeier'}], 'campaign': [{'id': 521731529, 'id_str': '521731529', 'screen_name': 'JackieSpeier'}]}",house,"{'bioguide': 'S001175', 'govtrack': 412259}",Jackie Speier,D,CA,member
72,"{'office': [{'id': 1071102246, 'id_str': '1071102246', 'screen_name': 'RepHuffman'}], 'campaign': [{'id': 334894942, 'id_str': '334894942', 'screen_name': 'JaredHuffman'}]}",house,"{'bioguide': 'H001068', 'govtrack': 412511}",Jared Huffman,D,CA,member
73,"{'office': [{'id': 248699486, 'id_str': '248699486', 'screen_name': 'RepJeffDenham'}], 'campaign': [{'id': 21346398, 'id_str': '21346398', 'screen_name': 'JeffDenham'}]}",house,"{'bioguide': 'D000612', 'govtrack': 412403}",Jeff Denham,R,CA,member
74,"{'office': [{'id': 385429543, 'id_str': '385429543', 'screen_name': 'RepMcNerney'}], 'campaign': [{'id': 176512266, 'id_str': '176512266', 'screen_name': 'jerrymcnerney'}]}",house,"{'bioguide': 'M001166', 'govtrack': 412189}",Jerry McNerney,D,CA,member
75,"{'office': [{'id': 245451804, 'id_str': '245451804', 'screen_name': 'RepJimCosta'}]}",house,"{'bioguide': 'C001059', 'govtrack': 400618}",Jim Costa,D,CA,member
76,"{'campaign': [{'id': 398193180, 'id_str': '398193180', 'screen_name': 'JimmyGomezCA'}], 'office': [{'id': 2371339658, 'id_str': '2371339658', 'screen_name': 'RepJimmyGomez'}]}",house,"{'bioguide': 'G000585', 'govtrack': 412739}",Jimmy Gomez,D,CA,member
77,"{'office': [{'id': 796736612554117100, 'id_str': '796736612554117120', 'screen_name': 'RepJimmyPanetta'}], 'campaign': [{'id': 4228409359, 'id_str': '4228409359', 'screen_name': 'JimmyPanetta'}]}",house,"{'bioguide': 'P000613', 'govtrack': 412685}",Jimmy Panetta,D,CA,member
78,"{'office': [{'id': 88806753, 'id_str': '88806753', 'screen_name': 'RepGaramendi'}], 'campaign': [{'id': 18907463, 'id_str': '18907463', 'screen_name': 'JohnGaramendi'}]}",house,"{'bioguide': 'G000559', 'govtrack': 412382}",John Garamendi,D,CA,member
79,"{'office': [{'id': 1260172386, 'id_str': '1260172386', 'screen_name': 'RepJuanVargas'}]}",house,"{'bioguide': 'V000130', 'govtrack': 412522}",Juan Vargas,D,CA,member
80,"{'office': [{'id': 193732179, 'id_str': '193732179', 'screen_name': 'RepJudyChu'}], 'campaign': [{'id': 793208286, 'id_str': '793208286', 'screen_name': 'JudyChuCampaign'}]}",house,"{'bioguide': 'C001080', 'govtrack': 412379}",Judy Chu,D,CA,member
81,"{'office': [{'id': 1243902714, 'id_str': '1243902714', 'screen_name': 'JuliaBrownley26'}], 'campaign': [{'id': 44251742, 'id_str': '44251742', 'screen_name': 'JuliaBrownley'}]}",house,"{'bioguide': 'B001285', 'govtrack': 412516}",Julia Brownley,D,CA,member
82,"{'office': [{'id': 239949176, 'id_str': '239949176', 'screen_name': 'RepKarenBass'}], 'campaign': [{'id': 113494390, 'id_str': '113494390', 'screen_name': 'KarenBassTweets'}]}",house,"{'bioguide': 'B001270', 'govtrack': 412404}",Karen Bass,D,CA,member
83,"{'office': [{'id': 22545491, 'id_str': '22545491', 'screen_name': 'KenCalvert'}], 'campaign': [{'id': 138553197, 'id_str': '138553197', 'screen_name': 'TeamCalvert'}]}",house,"{'bioguide': 'C000059', 'govtrack': 400057}",Ken Calvert,R,CA,member
84,"{'office': [{'id': 19739126, 'id_str': '19739126', 'screen_name': 'GOPLeader'}], 'campaign': [{'id': 15428227, 'id_str': '15428227', 'screen_name': 'kevinomccarthy'}]}",house,"{'bioguide': 'M001165', 'govtrack': 412190}",Kevin McCarthy,R,CA,member
85,"{'office': [{'id': 312134473, 'id_str': '312134473', 'screen_name': 'RepLindaSanchez'}]}",house,"{'bioguide': 'S001156', 'govtrack': 400355}",Linda Sánchez,D,CA,member
86,"{'office': [{'id': 815985039485837300, 'id_str': '815985039485837312', 'screen_name': 'RepLouCorrea'}]}",house,"{'bioguide': 'C001110', 'govtrack': 412688}",Lou Correa,D,CA,member
87,"{'office': [{'id': 479872233, 'id_str': '479872233', 'screen_name': 'RepRoybalAllard'}], 'campaign': [{'id': 878301212025782300, 'id_str': '878301212025782272', 'screen_name': 'LRAforCongress'}]}",house,"{'bioguide': 'R000486', 'govtrack': 400347}",Lucille Roybal-Allard,D,CA,member
88,"{'office': [{'id': 2968007206, 'id_str': '2968007206', 'screen_name': 'RepDeSaulnier'}], 'campaign': [{'id': 30252303, 'id_str': '30252303', 'screen_name': 'MarkDeSaulnier'}]}",house,"{'bioguide': 'D000623', 'govtrack': 412613}",Mark DeSaulnier,D,CA,member
89,"{'office': [{'id': 1037321378, 'id_str': '1037321378', 'screen_name': 'RepMarkTakano'}], 'campaign': [{'id': 316165422, 'id_str': '316165422', 'screen_name': 'MarkTakano'}]}",house,"{'bioguide': 'T000472', 'govtrack': 412520}",Mark Takano,D,CA,member
90,"{'office': [{'id': 36686040, 'id_str': '36686040', 'screen_name': 'MaxineWaters'}], 'campaign': [{'id': 3166120541, 'id_str': '3166120541', 'screen_name': 'MaxineWatersLA'}]}",house,"{'bioguide': 'W000187', 'govtrack': 400422}",Maxine Waters,D,CA,member
91,"{'office': [{'id': 303861808, 'id_str': '303861808', 'screen_name': 'RepThompson'}]}",house,"{'bioguide': 'T000460', 'govtrack': 400403}",Mike Thompson,D,CA,member
